order_id,order_date,product_id,product_category,region,warehouse_id,stock_level,restock_lead_time,supplier_id,supplier_lead_time,demand_forecast,actual_demand,weather_impact,fuel_price,logistics_delay
ORD000001,2024-07-22,P226,Electronics,Europe,WH16,904.0,10,S013,19,282,284,Stormy,1.38,6
ORD000002,2025-01-22,P471,Furniture,Africa,WH19,965.0,6,S093,10,473,602,Clear,0.84,8
ORD000003,2022-07-14,P018,Apparel,South America,WH08,504.0,10,S056,16,828,928,Rainy,1.2,5
ORD000004,2023-06-24,P243,Groceries,Asia,WH12,73.0,1,S071,7,1073,1168,Rainy,0.86,1
ORD000005,2023-02-08,P117,Furniture,Asia,WH09,377.0,4,S009,13,895,1038,Snowy,1.0,3
ORD000006,2022-06-10,P010,Electronics,Africa,WH10,975.0,12,S003,23,177,387,Stormy,1.0,2
ORD000007,2024-08-02,P039,Automobile,Africa,WH04,534.0,9,S054,26,595,468,Clear,1.45,6
ORD000008,2022-07-23,P041,Furniture,Europe,WH09,882.0,7,S006,20,581,432,Stormy,1.35,5
ORD000009,2024-04-22,P108,Automobile,South America,WH17,854.0,3,S041,20,127,-14,Clear,1.01,2
ORD000010,2023-02-21,P044,Apparel,South America,WH04,504.0,2,S002,12,107,226,Clear,1.47,7
ORD000011,2024-05-28,P197,Electronics,Asia,WH15,504.0,14,S055,6,436,512,Rainy,1.23,1
ORD000012,2023-04-04,P299,Groceries,Asia,WH02,161.0,11,S058,25,1079,1029,Snowy,1.5,4
ORD000013,2024-10-25,P209,Furniture,North America,WH01,504.0,13,S085,7,687,814,Clear,1.38,5
ORD000014,2022-12-16,P431,Automobile,Africa,WH04,504.0,2,S064,19,400,267,Rainy,1.43,5
ORD000015,2023-06-17,P459,Electronics,Africa,WH10,504.0,7,S037,17,191,30,Clear,0.83,8
ORD000016,2022-04-05,P367,Electronics,South America,WH06,680.0,8,S095,16,858,689,Clear,1.42,5
ORD000017,2022-11-22,P176,Apparel,North America,WH09,525.0,12,S007,20,1167,1169,Clear,0.8,8
ORD000018,2024-03-31,P275,Furniture,Europe,WH04,504.0,11,S052,29,761,854,Clear,1.01,2
ORD000019,2024-07-18,P277,Apparel,Africa,WH18,307.0,13,S040,16,373,255,Snowy,1.1,0
ORD000020,2023-07-02,P236,Apparel,South America,WH13,741.0,11,S028,20,515,703,Clear,1.28,4
ORD000021,2025-03-01,P003,Apparel,South America,WH01,730.0,3,S015,12,687,572,Clear,1.25,9
